Combinations;actual;mean;std;z-score
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'PTSD', 'SZC');7;0.54;1.94;3.33
('BPD', 'MDD', 'RA', 'SJOGRENS', 'SZC');68;5.54;18.78;3.33
('BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'SLE', 'SZC');71;5.85;19.58;3.33
('ASD', 'AUD', 'CHRONICPAIN', 'PARKINSONS', 'SZC');17;1.31;4.71;3.33
('BILIARYCHIRROSIS', 'CUD', 'GOUT', 'SJOGRENS');18;1.38;4.99;3.33
('ASD', 'AUD', 'CHRONICPAIN', 'PARKINSONS', 'SLE');17;1.31;4.71;3.33
('ASD', 'BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'SLE');10;0.77;2.77;3.33
('AUD', 'IBD', 'PREECLAMPSIA', 'RA');7;0.54;1.94;3.33
('BPD', 'MS', 'RA', 'SJOGRENS', 'SLE');43;3.51;11.87;3.33
('BPD', 'MS', 'RA', 'SJOGRENS', 'SZC');43;3.51;11.87;3.33
('AUD', 'BPD', 'MDD', 'SZC', 'TOURETTES');19;1.57;5.24;3.33
('ASD', 'AUD', 'BPD', 'PARKINSONS', 'SLE');20;1.54;5.55;3.33
('BPD', 'MS', 'SJOGRENS', 'SLE', 'SZC');43;3.51;11.87;3.33
('AUD', 'BPD', 'MDD', 'PTSD', 'SZC');7;0.54;1.94;3.33
('GOUT', 'SJOGRENS', 'SLE', 'SZC');58;4.66;16.03;3.33
('ASD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SLE');108;10.02;29.46;3.33
('BILIARYCHIRROSIS', 'BPD', 'MS', 'SJOGRENS', 'SLE');43;3.51;11.87;3.33
('BPD', 'GOUT', 'MDD', 'MS', 'SJOGRENS');35;2.69;9.71;3.33
('BPD', 'MDD', 'MS', 'SJOGRENS', 'SZC');43;3.51;11.87;3.33
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'SJOGRENS');71;6.02;19.53;3.33
('AUD', 'IBD', 'PREECLAMPSIA', 'RA', 'SLE');7;0.54;1.94;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'SJOGRENS');58;4.68;16.03;3.33
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'MS', 'SJOGRENS');43;3.42;11.9;3.33
('BILIARYCHIRROSIS', 'CUD', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('BPD', 'GOUT', 'MDD', 'SLE', 'SZC');94;8.49;25.71;3.33
('BPD', 'GOUT', 'MDD', 'SJOGRENS', 'SZC');58;4.57;16.06;3.33
('BPD', 'GOUT', 'MDD', 'SJOGRENS', 'SLE');58;4.46;16.09;3.33
('BPD', 'GOUT', 'MDD', 'RA', 'SLE');77;6.21;21.27;3.33
('RA', 'SJOGRENS', 'SLE', 'SZC');68;6.91;18.37;3.33
('BPD', 'GOUT', 'MDD', 'RA', 'SJOGRENS');57;4.49;15.78;3.33
('IBD', 'MS', 'PREECLAMPSIA', 'RA', 'SLE');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'CUD', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'RA', 'SJOGRENS');68;5.52;18.78;3.33
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'RA', 'SLE');193;19.68;52.12;3.33
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'SJOGRENS', 'SLE');71;5.57;19.66;3.33
('BILIARYCHIRROSIS', 'BPD', 'MDD', 'SJOGRENS', 'SZC');71;5.66;19.63;3.33
('ANOREXIA', 'BPD', 'CHRONICPAIN', 'CUD', 'SZC');26;2.0;7.21;3.33
('AUD', 'CUD', 'RA', 'SLE', 'SZC');7;0.54;1.94;3.33
('BPD', 'MDD', 'MS', 'SJOGRENS', 'SLE');43;3.42;11.9;3.33
('BILIARYCHIRROSIS', 'BPD', 'MS', 'RA', 'SJOGRENS');43;3.51;11.87;3.33
('BPD', 'CUD', 'GOUT', 'MDD', 'SJOGRENS');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('BPD', 'MDD', 'SJOGRENS', 'SLE');71;5.66;19.63;3.33
('BPD', 'GOUT', 'SJOGRENS', 'SLE');58;4.75;16.0;3.33
('BILIARYCHIRROSIS', 'MDD', 'SJOGRENS', 'SLE');71;6.11;19.51;3.33
('CUD', 'GOUT', 'MS', 'SJOGRENS', 'SZC');12;0.92;3.33;3.33
('CUD', 'GOUT', 'RA', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('BPD', 'CUD', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'CHRONICPAIN', 'PARKINSONS');17;1.31;4.71;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SZC');113;8.8;31.31;3.33
('CUD', 'GOUT', 'RA', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'RA');26;2.0;7.21;3.33
('AUD', 'BILIARYCHIRROSIS', 'GDM', 'GOUT', 'SLE');7;0.54;1.94;3.33
('BILIARYCHIRROSIS', 'GOUT', 'RA', 'SJOGRENS', 'SLE');57;4.38;15.81;3.33
('CUD', 'GOUT', 'SJOGRENS', 'SLE', 'SZC');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'GOUT', 'RA', 'SJOGRENS', 'SZC');57;4.49;15.78;3.33
('BILIARYCHIRROSIS', 'GOUT', 'RA', 'SLE', 'SZC');84;7.89;22.88;3.33
('ASD', 'MS', 'PARKINSONS', 'RA', 'SLE');25;2.12;6.88;3.33
('BILIARYCHIRROSIS', 'GOUT', 'SJOGRENS', 'SLE', 'SZC');58;4.57;16.06;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'MS', 'SLE');23;1.77;6.38;3.33
('CUD', 'GOUT', 'MS', 'SJOGRENS', 'SLE');12;0.92;3.33;3.33
('CUD', 'GOUT', 'MDD', 'SJOGRENS');18;1.38;4.99;3.33
('CUD', 'GOUT', 'MS', 'RA', 'SJOGRENS');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MS', 'SJOGRENS', 'SZC');35;2.89;9.65;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'SLE', 'SZC');80;6.62;22.05;3.33
('ANOREXIA', 'CHRONICPAIN', 'CUD', 'SZC');35;2.8;9.68;3.33
('CUD', 'GOUT', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('CUD', 'GOUT', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('AUD', 'BILIARYCHIRROSIS', 'GOUT', 'RA', 'SLE');11;0.85;3.05;3.33
('CUD', 'GOUT', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('CUD', 'GOUT', 'MDD', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('ANOREXIA', 'CHRONICPAIN', 'CUD', 'MDD');30;2.42;8.29;3.33
('CUD', 'GOUT', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('CUD', 'GOUT', 'MDD', 'SLE', 'SZC');23;1.77;6.38;3.33
('CUD', 'GOUT', 'MDD', 'SLE');23;1.88;6.35;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MS', 'RA', 'SJOGRENS');35;2.69;9.71;3.33
('AUD', 'BPD', 'GDM', 'GOUT');28;2.15;7.77;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MS', 'SJOGRENS', 'SLE');35;2.8;9.68;3.33
('BILIARYCHIRROSIS', 'MDD', 'PREECLAMPSIA', 'RA', 'SLE');98;8.91;26.79;3.33
('AUD', 'BILIARYCHIRROSIS', 'GDM', 'GOUT', 'SZC');25;1.92;6.93;3.33
('BPD', 'CUD', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'SJOGRENS', 'SZC');58;4.57;16.06;3.33
('GOUT', 'MDD', 'MS', 'SJOGRENS', 'SZC');35;2.8;9.68;3.33
('CUD', 'MDD', 'MS', 'SJOGRENS', 'SLE');12;0.92;3.33;3.33
('ADHD', 'BPD', 'CHRONICPAIN', 'CUD', 'MDD');23;1.88;6.35;3.33
('BPD', 'GOUT', 'MS', 'SJOGRENS');35;2.69;9.71;3.33
('BILIARYCHIRROSIS', 'IBD', 'MS', 'PREECLAMPSIA', 'RA');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'IBD', 'MS', 'PREECLAMPSIA', 'SLE');12;0.92;3.33;3.33
('ADHD', 'BPD', 'CHRONICPAIN', 'CUD', 'SZC');29;2.43;7.99;3.33
('BPD', 'GOUT', 'RA', 'SJOGRENS');57;4.68;15.73;3.33
('GOUT', 'MDD', 'MS', 'SJOGRENS', 'SLE');35;2.69;9.71;3.33
('BILIARYCHIRROSIS', 'RA', 'SJOGRENS', 'SLE', 'SZC');68;5.52;18.78;3.33
('AUD', 'BILIARYCHIRROSIS', 'GDM', 'GOUT');32;2.46;8.88;3.33
('BILIARYCHIRROSIS', 'IBD', 'PREECLAMPSIA', 'RA', 'SLE');23;1.77;6.38;3.33
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'MDD', 'TOURETTES');19;1.57;5.24;3.33
('GOUT', 'MDD', 'MS', 'RA', 'SLE');39;3.11;10.79;3.33
('GOUT', 'MDD', 'MS', 'RA', 'SJOGRENS');35;2.69;9.71;3.33
('BILIARYCHIRROSIS', 'PARKINSONS', 'PREECLAMPSIA', 'RA', 'SLE');70;6.29;19.15;3.33
('BPD', 'GOUT', 'SJOGRENS', 'SZC');58;4.94;15.95;3.33
('BPD', 'MDD', 'RA', 'SJOGRENS');68;5.97;18.65;3.33
('AUD', 'BILIARYCHIRROSIS', 'CHRONICPAIN', 'PARKINSONS', 'SLE');18;1.38;4.99;3.33
('AUD', 'BILIARYCHIRROSIS', 'IBD', 'PREECLAMPSIA');7;0.54;1.94;3.33
('CUD', 'MDD', 'MS', 'SJOGRENS', 'SZC');12;0.92;3.33;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'MS', 'PARKINSONS');23;1.77;6.38;3.33
('BPD', 'SJOGRENS', 'SLE', 'SZC');71;6.38;19.43;3.33
('CUD', 'MDD', 'SJOGRENS', 'SLE', 'SZC');18;1.38;4.99;3.33
('BPD', 'RA', 'SJOGRENS', 'SLE');68;5.81;18.7;3.33
('BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'SLE');239;23.69;64.75;3.33
('AUD', 'BILIARYCHIRROSIS', 'CUD', 'RA', 'SLE');7;0.54;1.94;3.33
('BPD', 'MS', 'RA', 'SJOGRENS');43;4.03;11.72;3.33
('AUD', 'BILIARYCHIRROSIS', 'CUD', 'MS', 'SLE');7;0.54;1.94;3.33
('AUD', 'BILIARYCHIRROSIS', 'CUD', 'MS', 'RA');7;0.54;1.94;3.33
('CUD', 'MDD', 'RA', 'SJOGRENS', 'SZC');18;1.38;4.99;3.33
('CUD', 'MDD', 'RA', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'GDM', 'GOUT');23;1.77;6.38;3.33
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'GOUT', 'PARKINSONS');7;0.54;1.94;3.33
('BPD', 'GOUT', 'MDD', 'SJOGRENS');58;4.57;16.06;3.33
('ADHD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA', 'SLE');64;5.82;17.49;3.33
('CUD', 'GOUT', 'MDD', 'SJOGRENS', 'SLE');18;1.38;4.99;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'SLE');106;8.26;29.37;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'SJOGRENS', 'SLE');58;4.46;16.09;3.33
('ADHD', 'CHRONICPAIN', 'CUD', 'MDD', 'SZC');31;2.38;8.6;3.33
('CUD', 'GOUT', 'MDD', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'MS', 'SLE');38;3.21;10.46;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'MS', 'SJOGRENS');35;2.8;9.68;3.33
('BILIARYCHIRROSIS', 'MDD', 'RA', 'SJOGRENS', 'SZC');68;5.43;18.8;3.33
('BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'SLE', 'SZC');86;8.29;23.36;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'BPD', 'PARKINSONS');21;1.62;5.82;3.33
('CUD', 'GOUT', 'SJOGRENS');18;1.38;4.99;3.33
('AUD', 'BILIARYCHIRROSIS', 'IBD', 'PREECLAMPSIA', 'RA');7;0.54;1.94;3.33
('CUD', 'MDD', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'MDD', 'SJOGRENS', 'SLE', 'SZC');71;5.84;19.58;3.33
('AUD', 'BILIARYCHIRROSIS', 'IBD', 'PREECLAMPSIA', 'SLE');7;0.54;1.94;3.33
('GOUT', 'MDD', 'RA', 'SJOGRENS', 'SLE');57;4.38;15.81;3.33
('CUD', 'GOUT', 'MDD', 'RA', 'SLE');22;1.69;6.1;3.33
('CUD', 'MS', 'RA', 'SJOGRENS', 'SLE');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'MS', 'PREECLAMPSIA', 'RA', 'SLE');239;20.21;65.76;3.33
('CUD', 'MS', 'RA', 'SJOGRENS', 'SZC');12;0.92;3.33;3.33
('CUD', 'MS', 'SJOGRENS', 'SLE', 'SZC');12;0.92;3.33;3.33
('GOUT', 'MDD', 'RA', 'SJOGRENS', 'SZC');57;4.49;15.78;3.33
('ASD', 'PARKINSONS', 'SLE', 'SZC');111;10.85;30.12;3.33
('AUD', 'BPD', 'GDM', 'SZC');25;2.12;6.88;3.33
('CUD', 'GOUT', 'MDD', 'MS', 'SJOGRENS');12;0.92;3.33;3.33
('CUD', 'MS', 'RA', 'SJOGRENS');12;0.92;3.33;3.33
('CUD', 'MS', 'SJOGRENS', 'SLE');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA', 'SLE');567;52.77;154.55;3.33
('BILIARYCHIRROSIS', 'MDD', 'RA', 'SJOGRENS', 'SLE');68;5.43;18.8;3.33
('CUD', 'MDD', 'RA', 'SJOGRENS');18;1.38;4.99;3.33
('CUD', 'MDD', 'MS', 'RA', 'SJOGRENS');12;0.92;3.33;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'RA', 'SJOGRENS');57;4.38;15.81;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'RA', 'SZC');78;7.5;21.2;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'RA', 'SLE');76;6.14;21.0;3.33
('BPD', 'CUD', 'GOUT', 'SJOGRENS');18;1.38;4.99;3.33
('BILIARYCHIRROSIS', 'GOUT', 'MDD', 'PREECLAMPSIA', 'SLE');7;0.54;1.94;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'RA', 'SLE');27;2.19;7.46;3.33
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'SLE', 'SZC');108;8.7;29.84;3.33
('BILIARYCHIRROSIS', 'BPD', 'GOUT', 'SLE');90;10.23;24.05;3.32
('ADHD', 'ASD', 'AUD', 'BILIARYCHIRROSIS', 'SLE');14;1.19;3.86;3.32
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'MDD', 'SLE');29;2.71;7.92;3.32
('ASD', 'BILIARYCHIRROSIS', 'BPD', 'RA', 'SJOGRENS');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'SJOGRENS');18;1.49;4.97;3.32
('ADHD', 'CHRONICPAIN', 'IBS', 'MDD', 'SZC');5;0.38;1.39;3.32
('CUD', 'RA', 'SJOGRENS', 'SLE', 'SZC');18;1.49;4.97;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'GOUT', 'SZC');26;2.73;7.01;3.32
('CUD', 'MDD', 'MS', 'SLE', 'SZC');18;1.59;4.95;3.32
('ADHD', 'GOUT', 'MS', 'TOURETTES');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'GOUT', 'RA');22;2.07;6.0;3.32
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'GOUT', 'SZC');22;1.89;6.05;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'GDM', 'SZC');20;1.65;5.52;3.32
('ASD', 'BILIARYCHIRROSIS', 'BPD', 'MS', 'SJOGRENS');5;0.38;1.39;3.32
('ASD', 'IBS', 'SLE', 'SZC');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'GOUT', 'SLE');22;2.07;6.0;3.32
('GOUT', 'MDD', 'SJOGRENS');58;4.79;16.01;3.32
('ADHD', 'ANOREXIA', 'MDD', 'SZC');67;8.55;17.61;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'TOURETTES');20;1.92;5.45;3.32
('BILIARYCHIRROSIS', 'BPD', 'GDM', 'GOUT');23;2.06;6.31;3.32
('AUD', 'MS', 'PARKINSONS', 'SLE');30;3.55;7.97;3.32
('BPD', 'MDD', 'MS', 'PREECLAMPSIA', 'RA');24;2.39;6.51;3.32
('BPD', 'MDD', 'MS', 'PREECLAMPSIA', 'SLE');24;2.05;6.61;3.32
('CUD', 'MDD', 'SJOGRENS');18;1.68;4.92;3.32
('BPD', 'MDD', 'MS', 'RA', 'SJOGRENS');43;3.6;11.85;3.32
('BPD', 'MDD', 'MS', 'RA', 'SLE');92;8.99;24.99;3.32
('ADHD', 'ASD', 'MS', 'RA', 'SLE');5;0.38;1.39;3.32
('ADHD', 'ASD', 'AUD', 'BILIARYCHIRROSIS', 'PARKINSONS');13;1.11;3.58;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'MDD', 'SZC');57;7.02;15.06;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'MDD', 'SLE');34;3.53;9.19;3.32
('AUD', 'GDM', 'GOUT', 'RA', 'SZC');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'RA', 'SLE');417;62.21;107.01;3.32
('CUD', 'MDD', 'MS', 'RA', 'SLE');19;1.75;5.2;3.32
('ASD', 'BILIARYCHIRROSIS', 'CHRONICPAIN', 'PARKINSONS', 'SLE');17;1.51;4.67;3.32
('AUD', 'PREECLAMPSIA', 'RA', 'SLE');63;7.06;16.85;3.32
('ADHD', 'MS', 'PARKINSONS', 'TOURETTES');15;1.44;4.09;3.32
('ANOREXIA', 'BPD', 'CHRONICPAIN', 'MDD', 'SZC');27;2.46;7.39;3.32
('ASD', 'MS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('AUD', 'PARKINSONS', 'SLE', 'SZC');110;12.15;29.45;3.32
('ANOREXIA', 'BPD', 'CHRONICPAIN', 'CUD', 'MDD');21;1.72;5.8;3.32
('ASD', 'BILIARYCHIRROSIS', 'GOUT', 'PARKINSONS');5;0.38;1.39;3.32
('AUD', 'GDM', 'GOUT', 'SLE', 'SZC');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'CUD', 'GOUT', 'MDD');22;1.89;6.05;3.32
('AUD', 'PARKINSONS', 'PREECLAMPSIA', 'RA', 'SLE');13;1.11;3.58;3.32
('GOUT', 'MS', 'SJOGRENS');35;3.08;9.61;3.32
('AUD', 'MS', 'PARKINSONS', 'RA', 'SLE');22;2.16;5.98;3.32
('BILIARYCHIRROSIS', 'BPD', 'MS', 'SJOGRENS');43;3.77;11.8;3.32
('ASD', 'MDD', 'MS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('ADHD', 'ANOREXIA', 'CUD', 'SZC');35;3.53;9.49;3.32
('ASD', 'AUD', 'PARKINSONS', 'PREECLAMPSIA', 'RA');8;0.62;2.22;3.32
('ASD', 'MS', 'PARKINSONS', 'PREECLAMPSIA', 'SLE');8;0.62;2.22;3.32
('GOUT', 'SJOGRENS', 'SZC');58;5.57;15.79;3.32
('ASD', 'AUD', 'MS', 'PARKINSONS', 'SZC');22;1.8;6.08;3.32
('ASD', 'MS', 'PARKINSONS', 'SLE', 'SZC');26;2.46;7.09;3.32
('AUD', 'PARKINSONS', 'RA', 'SLE', 'SZC');28;2.88;7.57;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'SZC');115;11.22;31.24;3.32
('ASD', 'AUD', 'MS', 'SLE', 'SZC');23;2.06;6.31;3.32
('ASD', 'AUD', 'MS', 'RA', 'SLE');16;1.34;4.41;3.32
('ASD', 'MDD', 'RA', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('ASD', 'MDD', 'RA', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('BILIARYCHIRROSIS', 'BPD', 'PREECLAMPSIA', 'SLE');161;20.39;42.36;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'SLE');109;9.43;29.95;3.32
('AUD', 'BILIARYCHIRROSIS', 'BPD', 'GDM');23;1.97;6.33;3.32
('ADHD', 'ASD', 'AUD', 'MS', 'PARKINSONS');5;0.38;1.39;3.32
('GOUT', 'RA', 'SJOGRENS');57;5.05;15.63;3.32
('AUD', 'IBD', 'MS', 'RA', 'SLE');5;0.38;1.39;3.32
('ASD', 'AUD', 'RA', 'SLE', 'SZC');26;2.2;7.16;3.32
('GOUT', 'PARKINSONS', 'SJOGRENS');5;0.38;1.39;3.32
('CUD', 'MDD', 'RA', 'SLE', 'SZC');31;2.76;8.5;3.32
('ASD', 'AUD', 'MS', 'PARKINSONS', 'SLE');22;1.8;6.08;3.32
('ADHD', 'ANOREXIA', 'CHRONICPAIN', 'MDD');50;4.32;13.74;3.32
('AUD', 'MS', 'PREECLAMPSIA', 'RA', 'SLE');37;3.5;10.09;3.32
('BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'SZC');71;7.53;19.12;3.32
('ASD', 'MS', 'RA', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('ADHD', 'CHRONICPAIN', 'CUD');42;5.16;11.1;3.32
('ADHD', 'ASD', 'AUD', 'PARKINSONS', 'RA');5;0.38;1.39;3.32
('ADHD', 'ASD', 'AUD', 'PARKINSONS', 'SLE');13;1.0;3.61;3.32
('ASD', 'MS', 'SJOGRENS', 'SLE', 'SZC');5;0.38;1.39;3.32
('ASD', 'MDD', 'MS', 'RA', 'SLE');15;1.26;4.14;3.32
('ASD', 'MDD', 'MS', 'RA', 'SJOGRENS');5;0.38;1.39;3.32
('ASD', 'AUD', 'MDD', 'PARKINSONS', 'SLE');13;1.11;3.58;3.32
('ADHD', 'ANOREXIA', 'CHRONICPAIN', 'SZC');55;5.92;14.78;3.32
('ASD', 'AUD', 'BILIARYCHIRROSIS', 'GOUT');5;0.38;1.39;3.32
('CUD', 'GOUT', 'MDD', 'MS', 'RA');13;1.11;3.58;3.32
('GOUT', 'MS', 'RA', 'SLE', 'SZC');42;4.39;11.32;3.32
('BPD', 'GOUT', 'PARKINSONS', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('ADHD', 'CHRONICPAIN', 'MDD', 'SZC');60;7.42;15.85;3.32
('BPD', 'GDM', 'GOUT');28;2.62;7.64;3.32
('CUD', 'GOUT', 'MDD', 'RA', 'SZC');22;1.89;6.05;3.32
('ADHD', 'MS', 'PREECLAMPSIA', 'RA', 'SLE');42;3.79;11.5;3.32
('BILIARYCHIRROSIS', 'PARKINSONS', 'PREECLAMPSIA', 'SLE');70;8.03;18.66;3.32
('AUD', 'BILIARYCHIRROSIS', 'IBD', 'MS', 'RA');5;0.38;1.39;3.32
('ADHD', 'ANOREXIA', 'CUD');38;4.26;10.17;3.32
('AUD', 'BILIARYCHIRROSIS', 'RA', 'SLE');121;16.2;31.61;3.32
('BPD', 'PARKINSONS', 'PREECLAMPSIA', 'RA', 'SLE');33;3.51;8.87;3.32
('CUD', 'GOUT', 'RA', 'SLE', 'SZC');23;2.06;6.31;3.32
('ADHD', 'AUD', 'MDD', 'MIGRAINE', 'MS');22;1.98;6.03;3.32
('BPD', 'SJOGRENS', 'SLE');71;7.78;19.05;3.32
('ADHD', 'BILIARYCHIRROSIS', 'MDD', 'PREECLAMPSIA', 'RA');23;2.23;6.26;3.32
('AUD', 'BPD', 'GOUT', 'MDD', 'SLE');5;0.38;1.39;3.32
('AUD', 'BPD', 'GDM', 'SLE', 'SZC');5;0.38;1.39;3.32
('AUD', 'BILIARYCHIRROSIS', 'GOUT', 'MDD', 'SLE');5;0.38;1.39;3.32
('AUD', 'BPD', 'GDM', 'RA', 'SZC');5;0.38;1.39;3.32
('AUD', 'BPD', 'GDM', 'RA', 'SLE');5;0.38;1.39;3.32
('ADHD', 'BILIARYCHIRROSIS', 'MDD', 'MIGRAINE', 'MS');24;2.39;6.51;3.32
('CUD', 'GOUT', 'MS', 'RA', 'SLE');13;1.11;3.58;3.32
('AUD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'SLE', 'SZC');31;3.55;8.28;3.32
('BPD', 'MDD', 'MS', 'SLE', 'SZC');89;10.48;23.67;3.32
('ADHD', 'BILIARYCHIRROSIS', 'CUD', 'MDD', 'PREECLAMPSIA');5;0.38;1.39;3.32
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'MIGRAINE', 'MS');26;2.29;7.14;3.32
('CUD', 'GOUT', 'MDD', 'MS', 'SLE');13;1.0;3.61;3.32
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'SZC', 'TOURETTES');22;1.98;6.03;3.32
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'SLE', 'SZC');45;5.25;11.99;3.32
('AUD', 'BILIARYCHIRROSIS', 'PREECLAMPSIA', 'RA', 'SZC');31;3.79;8.2;3.32
('AUD', 'BILIARYCHIRROSIS', 'MDD', 'RA', 'SLE');40;4.08;10.82;3.32
('ASD', 'BPD', 'MS', 'RA', 'SJOGRENS');5;0.38;1.39;3.32
('AUD', 'BPD', 'MDD', 'TOURETTES');19;1.66;5.22;3.32
('ASD', 'BPD', 'MS', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('ASD', 'BPD', 'MS', 'SJOGRENS', 'SZC');5;0.38;1.39;3.32
('ADHD', 'BILIARYCHIRROSIS', 'GOUT', 'MS', 'TOURETTES');5;0.38;1.39;3.32
('BPD', 'GOUT', 'SJOGRENS');58;5.23;15.89;3.32
('ASD', 'BPD', 'MDD', 'RA', 'SJOGRENS');5;0.38;1.39;3.32
('ASD', 'BPD', 'RA', 'SJOGRENS', 'SLE');5;0.38;1.39;3.32
('ASD', 'BPD', 'IBS', 'SLE', 'SZC');5;0.38;1.39;3.32
('AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'RA', 'SLE');34;3.01;9.33;3.32
('ASD', 'BPD', 'MDD', 'MS', 'SJOGRENS');5;0.38;1.39;3.32
('AUD', 'BILIARYCHIRROSIS', 'PARKINSONS', 'PREECLAMPSIA', 'RA');13;1.0;3.61;3.32
('ADHD', 'CHRONICPAIN', 'CUD', 'SZC');38;3.91;10.26;3.32
('AUD', 'BILIARYCHIRROSIS', 'MS', 'SLE', 'SZC');47;5.4;12.54;3.32
('AUD', 'BILIARYCHIRROSIS', 'IBD', 'RA', 'SLE');8;0.62;2.22;3.32
('AUD', 'CHRONICPAIN', 'MDD', 'TOURETTES');9;0.69;2.5;3.32
('ADHD', 'MDD', 'MS', 'PREECLAMPSIA', 'RA');14;1.19;3.86;3.32
